Sample_ID,Long,Lat
52009_091018_42_Geyser,-123.564708,47.953049
52009_091018_43_Geyser,-123.564708,47.953049
52009_091018_44_Geyser,-123.564708,47.953049
52009_091018_45_Geyser,-123.564708,47.953049
52009_091018_46_Geyser,-123.564708,47.953049
52009_091018_47_Geyser,-123.564708,47.953049
52009_091018_48_Geyser,-123.564708,47.953049
52009_091118_1_Elk,-123.46932,47.870426
52009_091118_10_Elk,-123.46932,47.870426
52009_091118_11_Elk,-123.46932,47.870426
52009_091118_12_Elk,-123.46932,47.870426
52009_091118_14_Elk,-123.46932,47.870426
52009_091118_15_Elk,-123.46932,47.870426
52009_091118_16_Elk,-123.46932,47.870426
52009_091118_17_Elk,-123.46932,47.870426
52009_091118_18_Elk,-123.46932,47.870426
52009_091118_19_Elk,-123.46932,47.870426
52009_091118_2_Elk,-123.46932,47.870426
52009_091118_20_Elk,-123.46932,47.870426
52009_091118_21_Elk,-123.46932,47.870426
52009_091118_22_Elk,-123.46932,47.870426
52009_091118_25_Elk,-123.46932,47.870426
52009_091118_26_Elk,-123.46932,47.870426
52009_091118_27_Elk,-123.46932,47.870426
52009_091118_28_Elk,-123.46932,47.870426
52009_091118_29_Elk,-123.46932,47.870426
52009_091118_3_Elk,-123.46932,47.870426
52009_091118_30_Elk,-123.46932,47.870426
52009_091118_31_Elk,-123.46932,47.870426
52009_091118_32_Elk,-123.46932,47.870426
52009_091118_33_Elk,-123.46932,47.870426
52009_091118_34_Elk,-123.46932,47.870426
52009_091118_35_Elk,-123.46932,47.870426
52009_091118_36_Elk,-123.46932,47.870426
52009_091118_37_Elk,-123.46932,47.870426
52009_091118_4_Elk,-123.46932,47.870426
52009_091118_49_Mills,-123.605755,47.993774
52009_091118_5_Elk,-123.46932,47.870426
52009_091118_50_Mills,-123.605755,47.993774
52009_091118_51_Mills,-123.605755,47.993774
52009_091118_52_Mills,-123.605755,47.993774
52009_091118_53_Mills,-123.605755,47.993774
52009_091118_54_Mills,-123.605755,47.993774
